filename,measure_family,sex,data_year,release_date,size_mb
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2000_MALE_Y2026M03D18.CSV,BURDEN,MALE,2000,2026-03-18,51.34
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2001_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2001,2026-03-18,51.35
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2001_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2001,2026-03-18,51.94
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2001_MALE_Y2026M03D18.CSV,BURDEN,MALE,2001,2026-03-18,51.34
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2002_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2002,2026-03-18,51.34
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2002_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2002,2026-03-18,51.94
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2002_MALE_Y2026M03D18.CSV,BURDEN,MALE,2002,2026-03-18,51.34
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2003_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2003,2026-03-18,51.34
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2003_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2003,2026-03-18,51.94
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2003_MALE_Y2026M03D18.CSV,BURDEN,MALE,2003,2026-03-18,51.34
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2004_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2004,2026-03-18,51.34
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2004_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2004,2026-03-18,51.94
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2004_MALE_Y2026M03D18.CSV,BURDEN,MALE,2004,2026-03-18,51.34
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2005_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2005,2026-03-18,51.34
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2005_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2005,2026-03-18,51.94
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2005_MALE_Y2026M03D18.CSV,BURDEN,MALE,2005,2026-03-18,51.34
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2006_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2006,2026-03-18,51.34
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2006_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2006,2026-03-18,51.94
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2006_MALE_Y2026M03D18.CSV,BURDEN,MALE,2006,2026-03-18,51.34
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2007_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2007,2026-03-18,51.34
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2007_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2007,2026-03-18,51.94
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2007_MALE_Y2026M03D18.CSV,BURDEN,MALE,2007,2026-03-18,51.34
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2008_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2008,2026-03-18,51.34
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2008_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2008,2026-03-18,51.94
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2008_MALE_Y2026M03D18.CSV,BURDEN,MALE,2008,2026-03-18,51.34
